company_id,company_name,SASB
1770,信東生技,醫療保健
1773,勝一,資源轉化
1775,大東樹脂,資源轉化
1776,展宇,資源轉化
1777,生泰,醫療保健
1780,立弘,醫療保健
1781,合世,醫療保健
1783,和康生,醫療保健
1784,訊聯,醫療保健
1785,光洋科,公共建設
1786,科妍,醫療保健
1788,杏昌,醫療保健
1789,神隆,醫療保健
1795,美時,醫療保健
1796,金穎生技,醫療保健
1799,易威,醫療保健
1802,台玻,提煉與礦產加工
1805,寶徠,公共建設
1806,冠軍,消費品
1808,潤隆,公共建設
1809,中釉,消費品
1810,和成,消費品
1813,寶利徠,醫療保健
1815,富喬,科技與通訊
1817,凱撒衛,消費品
1819,豐鼎,消費品
1903,士紙,可再生資源與替代能源
1904,正隆,資源轉化
1905,華紙,可再生資源與替代能源
1906,寶隆,可再生資源與替代能源
1907,永豐餘,可再生資源與替代能源
1909,榮成,可再生資源與替代能源
2002,中鋼,提煉與礦產加工
2006,東和鋼鐵,提煉與礦產加工
2007,燁興,提煉與礦產加工
2008,高興昌,提煉與礦產加工
2009,第一銅,提煉與礦產加工
2010,春源,提煉與礦產加工
2012,春雨,提煉與礦產加工
2013,中鋼構,公共建設
2014,中鴻,提煉與礦產加工
2015,豐興,提煉與礦產加工
2017,官田鋼,提煉與礦產加工
2020,美亞,提煉與礦產加工
2022,聚亨,提煉與礦產加工
2023,燁輝,提煉與礦產加工
2024,志聯,提煉與礦產加工
2025,千興,提煉與礦產加工
2027,大成鋼,提煉與礦產加工
2028,威致,提煉與礦產加工
2029,盛餘,提煉與礦產加工
2030,彰源,提煉與礦產加工
2031,新光鋼,提煉與礦產加工
2032,新鋼,提煉與礦產加工
2033,佳大,提煉與礦產加工
2034,允強,提煉與礦產加工
2035,唐榮,提煉與礦產加工
2038,海光,提煉與礦產加工
2041,燁茂實業,提煉與礦產加工
2048,中龍鋼鐵,提煉與礦產加工
2049,上銀,資源轉化
2056,璋釔,提煉與礦產加工
2059,川湖,提煉與礦產加工
2061,風青,提煉與礦產加工
2062,橋椿,消費品
2063,世鎧,提煉與礦產加工
2064,晉椿,提煉與礦產加工
2065,世豐,提煉與礦產加工
2066,世德,運輸
2067,嘉鋼,資源轉化
2068,優頻,提煉與礦產加工
2069,運錩,提煉與礦產加工
2070,精湛,資源轉化
2071,震南鐵,提煉與礦產加工
2072,世紀風電,可再生資源與替代能源
2073,雄順,提煉與礦產加工
2101,南港,運輸
2102,泰豐,運輸
2103,台橡,資源轉化
2104,國際中橡,資源轉化
2105,正新,運輸
2106,建大,運輸
2107,厚生,資源轉化
2108,南帝,資源轉化
2109,華豐,運輸
2114,鑫永銓,資源轉化
2115,六暉-KY,運輸
2201,裕隆,運輸
2204,中華,運輸
2206,三陽工業,運輸
2207,和泰車,運輸
2208,台船,資源轉化
2211,長榮鋼,提煉與礦產加工
2215,匯豐汽車,運輸
2218,高都汽車,運輸
2219,鍾慶科技,運輸
2220,南都汽車,運輸
2221,大甲,提煉與礦產加工
2222,桃苗汽車,運輸
2225,國都汽車,運輸
2226,中部汽車,運輸
2227,裕日車,運輸
2228,劍麟,運輸
2230,泰茂,運輸
2231,為升,運輸
2233,宇隆,運輸
2235,謚源,運輸
2236,百達-KY,運輸
2237,華德動能,運輸
2239,英利-KY,運輸
2241,艾姆勒,運輸
2243,宏旭-KY,運輸
2245,詠勝昌,運輸
2246,凱勝綠能,運輸
2247,汎德永業,運輸
2248,華勝-KY,運輸
2249,湧盛,資源轉化
2250,IKKA-KY,運輸
2252,為昇科,運輸
2254,巨鎧,運輸
2256,歐特明,運輸
2301,光寶科,科技與通訊
2302,麗正,科技與通訊
2303,聯電,科技與通訊
2305,全友,科技與通訊
2308,台達電,科技與通訊
2312,金寶,科技與通訊
2313,華通,科技與通訊
2314,台揚,科技與通訊
2316,楠梓電,科技與通訊
2317,鴻海,科技與通訊
2321,東訊,科技與通訊
2323,中環,科技與通訊
2324,仁寶,科技與通訊
2327,國巨,科技與通訊
2328,廣宇,資源轉化
2329,華泰,科技與通訊
2330,台積電,科技與通訊
2331,精英,科技與通訊
2332,友訊,科技與通訊
2337,旺宏,科技與通訊
2338,光罩,科技與通訊
2340,台亞,科技與通訊
2342,茂矽,科技與通訊
2344,華邦電,科技與通訊
2345,智邦,科技與通訊
2347,聯強,消費品
2348,海悅,公共建設
2349,錸德,科技與通訊
2351,順德,科技與通訊
2352,佳世達,科技與通訊
2353,宏碁,科技與通訊
